Positive,,Negative,
term,count,term,count
revelation,1,disgusted,1
reverence,1,disinterested,1
revive,1,disloyal,1
rewarding,1,disobedience,1
richer,1,disrupt,1
rockstars,1,disruption,1
satisfied,1,dissent,1
savings,1,dissonant,1
savior,1,distorted,1
securely,1,distract,1
sensational,1,distraction,1
sharp,1,distraught,1
shiny,1,distress,1
simplify,1,disturbing,1
sincere,1,divergent,1
skill,1,downside,1
skilled,1,draining,1
smartest,1,drastic,1
smile,1,dread,1
sophisticated,1,drunk,1
soundly,1,dumb,1
spiritual,1,dumped,1
steadfast,1,dungeons,1
stimulate,1,dust,1
stupendous,1,enemy,1
sturdy,1,error,1
suitable,1,evil,1
superb,1,exclusion,1
survivor,1,expel,1
toughest,1,fails,1
traction,1,fallen,1
tranquility,1,falling,1
tremendously,1,falsehood,1
unbiased,1,falsely,1
unreal,1,fascism,1
upheld,1,fault,1
uphold,1,fell,1
uplift,1,fever,1
versatile,1,fictional,1
vigilant,1,flake,1
wholeheartedly,1,flaws,1
willingness,1,foolishness,1
wondrous,1,foul,1
worthwhile,1,fraudulent,1
racism,127,freak,1
crisis,55,freezes,1
issue,48,frigid,1
racist,46,froze,1
hard,44,fudge,1
miss,40,furious,1
breaking,39,furiously,1
issues,36,fuss,1
problem,36,fuzzy,1
death,35,gall,1
bad,33,garbage,1
lack,33,genocide,1
lost,30,greed,1
die,27,greedy,1
missed,27,grieve,1
critical,25,grim,1
harm,24,gritty,1
vice,24,guilty,1
debt,23,harmful,1
challenging,21,harsh,1
died,21,hateful,1
failed,21,haters,1
insurrection,21,headaches,1
loss,21,hefty,1
disabled,20,hoard,1
inequities,20,hopelessly,1
poverty,20,horrendous,1
killed,19,hostage,1
trauma,19,hostility,1
criminal,18,hotheaded,1
disaster,18,hung,1
emergency,17,hurt,1
inequality,17,illusion,1
slow,17,imbalance,1
problems,16,immoral,1
risk,16,impede,1
vulnerable,16,impotent,1
attack,15,inaccurate,1
damage,15,inescapable,1
dangerous,15,inexcusable,1
threat,15,infamous,1
break,14,inflict,1
cold,14,infuriated,1
difficult,14,ingratitude,1
discrimination,14,inhospitable,1
injustice,14,injure,1
protest,14,injury,1
crash,13,insecurity,1
tired,13,instability,1
violent,13,instable,1
fall,12,insult,1
FALSE,12,interfere,1
fear,12,intimidating,1
hate,12,intimidation,1
ignore,12,intractable,1
sad,12,invalidate,1
stress,12,involuntarily,1
struggle,12,involuntary,1
struggling,12,irks,1
wrong,12,ironically,1
concerned,11,irrelevant,1
damn,11,isolate,1
failure,11,isolation,1
freeze,11,itching,1
freezing,11,jam,1
poor,11,killer,1
prison,11,knife,1
rail,11,lacked,1
suffering,11,lacks,1
urgent,11,lanky,1
worse,11,lied,1
afraid,10,lifeless,1
blame,10,lone,1
destroy,10,losers,1
hell,10,losses,1
limited,10,maddening,1
queer,10,madness,1
rage,10,manic,1
stolen,10,manipulative,1
worst,10,meaningless,1
angry,9,meltdown,1
boil,9,mirage,1
broken,9,miserable,1
complex,9,misery,1
fucking,9,misleading,1
hang,9,mistaken,1
losing,9,mistrustful,1
radical,9,mocking,1
terrible,9,monster,1
awful,8,monstrosity,1
brutality,8,motley,1
concerns,8,murderer,1
desert,8,myth,1
failing,8,naive,1
heartbreaking,8,nasty,1
killing,8,negativity,1
lies,8,negligence,1
unjust,8,nonsense,1
bias,7,numb,1
breakdown,7,objectionable,1
burden,7,obscenely,1
burn,7,obscure,1
collapse,7,obstacle,1
concern,7,obstruction,1
confront,7,offenses,1
crazy,7,opponent,1
dead,7,oppress,1
delay,7,ordeal,1
denied,7,outrage,1
grief,7,outrageous,1
horrible,7,overreach,1
limit,7,overturn,1
lose,7,overwhelmed,1
